date,complaint_id,customer_id,region,category,channel,volume,segment,week_of_year,month,quarter
2024-06-26,CP200720,C100894,South,Login,CallCenter,1,41-55,26,6,2
2024-06-13,CP200721,C104277,East,Fees,Digital,1,56+,24,6,2
2024-11-07,CP200722,C107736,South,Card,Branch,1,41-55,45,11,4
2024-11-25,CP200723,C104410,East,Fees,Digital,1,26-40,48,11,4
2024-01-31,CP200724,C102451,West,Login,CallCenter,1,41-55,5,1,1
2024-10-10,CP200725,C102824,South,Login,Digital,1,56+,41,10,4
2024-08-14,CP200726,C105478,East,Fees,Digital,1,26-40,33,8,3
2024-10-06,CP200727,C101437,East,Service,Digital,1,26-40,40,10,4
2024-06-15,CP200728,C103408,South,Card,CallCenter,1,26-40,24,6,2
2024-02-08,CP200729,C101454,South,Login,Digital,1,26-40,6,2,1
2024-05-23,CP200730,C101219,North,Login,Digital,1,18-25,21,5,2
2024-08-15,CP200731,C107241,East,Fees,CallCenter,1,26-40,33,8,3
2024-07-10,CP200732,C107086,North,Fees,Branch,1,41-55,28,7,3
2024-05-10,CP200733,C102429,South,Service,Digital,1,41-55,19,5,2
2024-08-30,CP200734,C104860,South,Service,Digital,1,26-40,35,8,3
2024-08-10,CP200735,C100607,East,Card,CallCenter,1,18-25,32,8,3
2024-04-05,CP200736,C106001,East,Fees,Digital,1,18-25,14,4,2
2024-04-18,CP200737,C104494,East,Fees,CallCenter,1,26-40,16,4,2
2024-02-26,CP200738,C106307,West,Login,Branch,1,41-55,9,2,1
2024-03-21,CP200739,C104209,North,Card,Digital,1,18-25,12,3,1
2024-04-25,CP200740,C103692,South,Fees,Digital,1,18-25,17,4,2
2024-05-05,CP200741,C100869,East,Login,Branch,1,18-25,18,5,2
2024-05-19,CP200742,C103855,South,Service,Branch,1,18-25,20,5,2
2024-03-10,CP200743,C105759,South,Fees,Branch,1,18-25,10,3,1
2024-05-13,CP200744,C106536,South,Fees,Digital,1,18-25,20,5,2
2024-12-30,CP200745,C107104,South,Login,CallCenter,1,26-40,1,12,4
2024-08-18,CP200746,C100191,West,Login,Digital,1,26-40,33,8,3
2024-01-28,CP200747,C106033,South,Service,Digital,1,18-25,4,1,1
2024-09-06,CP200748,C105005,South,Fees,Digital,1,26-40,36,9,3
2024-11-18,CP200749,C100910,South,Service,Branch,1,41-55,47,11,4
2024-07-05,CP200750,C106488,South,Card,Branch,1,18-25,27,7,3
2024-02-17,CP200751,C100243,South,Login,Digital,1,26-40,7,2,1
2024-08-01,CP200752,C106472,North,Login,Digital,1,56+,31,8,3
2024-01-01,CP200753,C107320,East,Fees,Branch,1,18-25,1,1,1
2024-10-27,CP200754,C101703,South,Service,Digital,1,41-55,43,10,4
2024-10-28,CP200755,C104714,North,Login,CallCenter,1,26-40,44,10,4
2024-05-22,CP200756,C105191,West,Card,Digital,1,41-55,21,5,2
2024-11-17,CP200757,C105962,West,Fees,CallCenter,1,26-40,46,11,4
2024-01-20,CP200758,C102620,South,Login,Digital,1,56+,3,1,1
2024-08-06,CP200759,C107270,South,Fees,Branch,1,56+,32,8,3
2024-09-03,CP200760,C104691,South,Fees,Digital,1,26-40,36,9,3
2024-05-08,CP200761,C103166,North,Login,Digital,1,18-25,19,5,2
2024-11-08,CP200762,C103796,South,Card,Branch,1,41-55,45,11,4
2024-10-20,CP200763,C106663,South,Service,Branch,1,41-55,42,10,4
2024-02-23,CP200764,C107082,South,Login,CallCenter,1,41-55,8,2,1
2024-10-16,CP200765,C107153,South,Login,Digital,1,26-40,42,10,4
2024-10-08,CP200766,C103863,East,Login,Digital,1,26-40,41,10,4
2024-03-28,CP200767,C106727,North,Service,Branch,1,26-40,13,3,1
2024-11-27,CP200768,C101332,South,Card,Digital,1,26-40,48,11,4
2024-03-15,CP200769,C106041,West,Service,Branch,1,18-25,11,3,1
2024-11-12,CP200770,C107740,South,Service,Branch,1,26-40,46,11,4
2024-05-12,CP200771,C105797,South,Service,Digital,1,56+,19,5,2
2024-05-17,CP200772,C101711,South,Login,Digital,1,26-40,20,5,2
2024-06-08,CP200773,C103437,South,Fees,Digital,1,26-40,23,6,2
2024-03-18,CP200774,C106670,South,Login,Digital,1,26-40,12,3,1
2024-09-03,CP200775,C103057,South,Login,Digital,1,18-25,36,9,3
2024-10-27,CP200776,C106098,West,Card,Digital,1,41-55,43,10,4
2024-07-10,CP200777,C101677,East,Card,Branch,1,26-40,28,7,3
2024-08-11,CP200778,C105876,North,Card,Digital,1,41-55,32,8,3
2024-02-10,CP200779,C101440,South,Card,Digital,1,26-40,6,2,1
2024-07-14,CP200780,C106290,West,Fees,Digital,1,41-55,28,7,3
2024-01-16,CP200781,C100103,East,Login,Digital,1,56+,3,1,1
2024-05-23,CP200782,C100165,East,Login,Branch,1,26-40,21,5,2
2024-04-22,CP200783,C104898,East,Card,Branch,1,56+,17,4,2
2024-12-09,CP200784,C106547,North,Card,CallCenter,1,26-40,50,12,4
2024-10-28,CP200785,C103450,West,Service,Digital,1,41-55,44,10,4
2024-10-11,CP200786,C104232,North,Fees,CallCenter,1,41-55,41,10,4
2024-08-08,CP200787,C100627,West,Service,Branch,1,18-25,32,8,3
2024-10-13,CP200788,C106427,North,Card,Digital,1,26-40,41,10,4
2024-12-22,CP200789,C102754,East,Card,Branch,1,56+,51,12,4
2024-06-05,CP200790,C101622,West,Card,Branch,1,41-55,23,6,2
2024-04-01,CP200791,C107885,South,Service,Branch,1,26-40,14,4,2
2024-03-29,CP200792,C106247,South,Login,Digital,1,56+,13,3,1
2024-08-22,CP200793,C106652,South,Fees,Branch,1,41-55,34,8,3
2024-09-11,CP200794,C104299,North,Card,Branch,1,41-55,37,9,3
2024-10-18,CP200795,C101294,North,Card,Branch,1,26-40,42,10,4
2024-11-15,CP200796,C101907,East,Login,Digital,1,18-25,46,11,4
2024-08-26,CP200797,C102220,East,Login,Branch,1,26-40,35,8,3
2024-05-14,CP200798,C103259,South,Login,Digital,1,18-25,20,5,2
2024-01-12,CP200799,C105117,West,Fees,Digital,1,41-55,2,1,1
2024-06-20,CP200800,C100178,South,Card,CallCenter,1,56+,25,6,2
2024-02-06,CP200801,C100968,West,Login,Digital,1,26-40,6,2,1
2024-11-04,CP200802,C106578,North,Service,Digital,1,56+,45,11,4
2024-12-03,CP200803,C101714,North,Login,Digital,1,26-40,49,12,4
2024-01-08,CP200804,C101243,South,Card,Branch,1,18-25,2,1,1
2024-11-13,CP200805,C103057,South,Login,CallCenter,1,18-25,46,11,4
2024-08-08,CP200806,C107952,South,Login,CallCenter,1,56+,32,8,3
2024-06-12,CP200807,C106016,South,Login,Digital,1,18-25,24,6,2
2024-09-05,CP200808,C106041,West,Login,Digital,1,18-25,36,9,3
2024-04-18,CP200809,C106171,South,Card,Branch,1,26-40,16,4,2
2024-03-16,CP200810,C102041,South,Fees,CallCenter,1,41-55,11,3,1
2024-07-29,CP200811,C106879,East,Card,Digital,1,18-25,31,7,3
2024-06-09,CP200812,C106376,South,Fees,Branch,1,26-40,23,6,2
2024-09-16,CP200813,C103649,West,Service,CallCenter,1,56+,38,9,3
2024-01-11,CP200814,C100082,North,Card,Branch,1,41-55,2,1,1
2024-12-30,CP200815,C102874,West,Login,Branch,1,18-25,1,12,4
2024-02-25,CP200816,C103670,South,Service,Branch,1,26-40,8,2,1
2024-07-02,CP200817,C104197,South,Service,Digital,1,56+,27,7,3
2024-07-09,CP200818,C103202,East,Login,Digital,1,56+,28,7,3
2024-03-06,CP200819,C102661,East,Card,Branch,1,26-40,10,3,1
2024-09-15,CP200820,C106849,North,Fees,Digital,1,56+,37,9,3
2024-01-18,CP200821,C102987,West,Fees,Branch,1,26-40,3,1,1
2024-02-10,CP200822,C106483,South,Service,Branch,1,41-55,6,2,1
2024-01-22,CP200823,C105810,North,Login,Branch,1,26-40,4,1,1
2024-04-06,CP200824,C106436,North,Service,Digital,1,26-40,14,4,2
2024-08-29,CP200825,C100810,West,Login,Digital,1,18-25,35,8,3
2024-11-19,CP200826,C101930,North,Service,Digital,1,41-55,47,11,4
2024-06-13,CP200827,C106573,South,Login,Digital,1,41-55,24,6,2
2024-03-24,CP200828,C107267,North,Service,Branch,1,41-55,12,3,1
2024-08-31,CP200829,C104801,East,Login,CallCenter,1,18-25,35,8,3
2024-12-30,CP200830,C101756,East,Fees,CallCenter,1,18-25,1,12,4
2024-10-17,CP200831,C100734,East,Login,CallCenter,1,18-25,42,10,4
2024-02-12,CP200832,C104748,South,Login,Branch,1,56+,7,2,1
2024-07-30,CP200833,C102993,South,Fees,CallCenter,1,26-40,31,7,3
2024-06-21,CP200834,C106202,West,Login,Digital,1,26-40,25,6,2
2024-04-22,CP200835,C105209,West,Login,CallCenter,1,18-25,17,4,2
2024-04-14,CP200836,C107695,East,Login,Digital,1,26-40,15,4,2
2024-02-21,CP200837,C101603,South,Fees,Digital,1,41-55,8,2,1
2024-03-31,CP200838,C100451,North,Login,Digital,1,56+,13,3,1
2024-07-02,CP200839,C107014,South,Login,Digital,1,26-40,27,7,3
2024-07-15,CP200840,C100411,South,Login,CallCenter,1,41-55,29,7,3
2024-07-25,CP200841,C107665,East,Fees,Digital,1,26-40,30,7,3
2024-09-11,CP200842,C106120,South,Fees,Branch,1,18-25,37,9,3
2024-10-22,CP200843,C100952,South,Card,CallCenter,1,26-40,43,10,4
2024-10-30,CP200844,C106273,West,Fees,Branch,1,18-25,44,10,4
2024-12-23,CP200845,C106949,South,Fees,Digital,1,56+,52,12,4
2024-03-31,CP200846,C101807,North,Login,Digital,1,26-40,13,3,1
2024-06-12,CP200847,C100440,East,Card,Branch,1,56+,24,6,2
2024-03-11,CP200848,C105118,South,Login,Branch,1,18-25,11,3,1
2024-05-11,CP200849,C105404,North,Login,CallCenter,1,26-40,19,5,2
2024-05-21,CP200850,C107146,West,Card,Digital,1,26-40,21,5,2
2024-11-22,CP200851,C106277,North,Fees,CallCenter,1,41-55,47,11,4
2024-07-22,CP200852,C101877,West,Login,CallCenter,1,26-40,30,7,3
2024-06-11,CP200853,C107216,South,Fees,CallCenter,1,41-55,24,6,2
2024-02-14,CP200854,C106775,North,Service,CallCenter,1,26-40,7,2,1
2024-11-06,CP200855,C101276,West,Card,Digital,1,18-25,45,11,4
2024-11-10,CP200856,C100641,West,Service,Digital,1,41-55,45,11,4
2024-09-28,CP200857,C107147,West,Card,Digital,1,41-55,39,9,3
2024-11-08,CP200858,C105101,North,Login,Digital,1,26-40,45,11,4
2024-07-03,CP200859,C106346,North,Login,Digital,1,56+,27,7,3
2024-03-23,CP200860,C106971,East,Login,Branch,1,26-40,12,3,1
2024-06-26,CP200861,C103639,West,Fees,Digital,1,26-40,26,6,2
2024-09-15,CP200862,C103334,North,Fees,Digital,1,26-40,37,9,3
2024-04-12,CP200863,C105110,South,Fees,Branch,1,18-25,15,4,2
2024-07-03,CP200864,C100929,South,Card,Branch,1,41-55,27,7,3
2024-02-06,CP200865,C102031,East,Service,Digital,1,26-40,6,2,1
2024-12-26,CP200866,C103718,South,Service,Branch,1,56+,52,12,4
2024-04-12,CP200867,C101788,South,Login,Branch,1,56+,15,4,2
2024-08-12,CP200868,C107136,North,Login,Digital,1,18-25,33,8,3
2024-12-08,CP200869,C105548,South,Fees,Digital,1,41-55,49,12,4
2024-05-02,CP200870,C104661,South,Card,Digital,1,56+,18,5,2
2024-03-05,CP200871,C106163,East,Login,Branch,1,26-40,10,3,1
2024-03-21,CP200872,C102536,East,Login,CallCenter,1,41-55,12,3,1
2024-09-26,CP200873,C101491,West,Login,Branch,1,41-55,39,9,3
2024-09-30,CP200874,C102096,North,Login,Digital,1,18-25,40,9,3
2024-02-16,CP200875,C107272,North,Service,Branch,1,18-25,7,2,1
2024-04-16,CP200876,C102639,South,Card,Branch,1,18-25,16,4,2
2024-04-03,CP200877,C102506,South,Login,Digital,1,56+,14,4,2
2024-01-24,CP200878,C105991,North,Login,Digital,1,41-55,4,1,1
2024-05-19,CP200879,C106412,North,Card,Branch,1,26-40,20,5,2
2024-09-04,CP200880,C103241,North,Card,Digital,1,26-40,36,9,3
2024-09-27,CP200881,C102096,North,Service,Branch,1,18-25,39,9,3
2024-07-17,CP200882,C103354,South,Login,CallCenter,1,26-40,29,7,3
2024-12-06,CP200883,C106632,West,Service,CallCenter,1,56+,49,12,4
2024-03-05,CP200884,C101807,North,Card,CallCenter,1,26-40,10,3,1
2024-02-16,CP200885,C106963,West,Login,Digital,1,26-40,7,2,1
2024-06-23,CP200886,C100843,South,Service,CallCenter,1,26-40,25,6,2
2024-09-10,CP200887,C105582,East,Service,Branch,1,26-40,37,9,3
2024-07-01,CP200888,C100845,South,Login,CallCenter,1,56+,27,7,3
2024-07-21,CP200889,C100934,East,Service,Branch,1,41-55,29,7,3
2024-01-19,CP200890,C100847,South,Login,Digital,1,41-55,3,1,1
2024-06-12,CP200891,C100258,East,Card,Digital,1,18-25,24,6,2
2024-07-30,CP200892,C105650,East,Service,Branch,1,56+,31,7,3
2024-07-14,CP200893,C100355,East,Card,Digital,1,26-40,28,7,3
2024-10-31,CP200894,C103398,North,Login,Digital,1,41-55,44,10,4
2024-08-14,CP200895,C107259,North,Login,Digital,1,18-25,33,8,3
2024-11-26,CP200896,C104399,South,Service,CallCenter,1,41-55,48,11,4
2024-03-07,CP200897,C104559,South,Login,Branch,1,41-55,10,3,1
2024-09-11,CP200898,C106821,South,Fees,CallCenter,1,56+,37,9,3
2024-09-08,CP200899,C106486,North,Login,Branch,1,26-40,36,9,3
2024-03-05,CP200900,C102623,South,Login,Branch,1,56+,10,3,1
2024-08-24,CP200901,C106251,South,Card,Digital,1,18-25,34,8,3
2024-05-10,CP200902,C100707,North,Service,CallCenter,1,41-55,19,5,2
2024-04-07,CP200903,C102885,South,Login,Digital,1,26-40,14,4,2
2024-03-06,CP200904,C107198,North,Login,CallCenter,1,41-55,10,3,1
2024-02-01,CP200905,C102216,East,Fees,Branch,1,18-25,5,2,1
2024-12-06,CP200906,C105481,North,Service,CallCenter,1,18-25,49,12,4
2024-06-15,CP200907,C105869,West,Login,Digital,1,18-25,24,6,2
2024-07-11,CP200908,C100088,South,Login,Branch,1,18-25,28,7,3
2024-02-14,CP200909,C106422,South,Login,Digital,1,41-55,7,2,1
2024-01-29,CP200910,C106728,West,Service,Branch,1,41-55,5,1,1
2024-02-05,CP200911,C102288,South,Card,Digital,1,18-25,6,2,1
2024-09-30,CP200912,C107685,South,Fees,CallCenter,1,41-55,40,9,3
2024-01-04,CP200913,C105452,South,Login,Branch,1,41-55,1,1,1
2024-10-19,CP200914,C103477,West,Fees,Digital,1,56+,42,10,4
2024-02-12,CP200915,C102560,South,Login,Branch,1,41-55,7,2,1
2024-08-04,CP200916,C104088,North,Fees,Digital,1,18-25,31,8,3
2024-03-15,CP200917,C100015,South,Service,Digital,1,26-40,11,3,1
2024-04-14,CP200918,C102093,East,Login,CallCenter,1,18-25,15,4,2
2024-09-14,CP200919,C107320,East,Card,Digital,1,18-25,37,9,3
2024-03-28,CP200920,C100871,West,Login,Branch,1,18-25,13,3,1
2024-05-16,CP200921,C101250,South,Login,Branch,1,18-25,20,5,2
2024-08-27,CP200922,C100619,East,Service,Digital,1,18-25,35,8,3
2024-04-21,CP200923,C104204,South,Fees,Digital,1,41-55,16,4,2
2024-03-21,CP200924,C106105,South,Login,Branch,1,56+,12,3,1
2024-06-09,CP200925,C104116,South,Card,Digital,1,26-40,23,6,2
2024-12-21,CP200926,C106779,North,Card,Digital,1,41-55,51,12,4
2024-01-23,CP200927,C104039,South,Login,Branch,1,41-55,4,1,1
2024-11-25,CP200928,C104080,West,Card,Branch,1,26-40,48,11,4
2024-11-20,CP200929,C100211,West,Login,Digital,1,26-40,47,11,4
2024-05-10,CP200930,C100009,South,Card,CallCenter,1,26-40,19,5,2
2024-11-07,CP200931,C101209,East,Fees,Branch,1,26-40,45,11,4
2024-07-31,CP200932,C101114,South,Login,CallCenter,1,56+,31,7,3
2024-02-27,CP200933,C107397,South,Card,Branch,1,26-40,9,2,1
2024-11-07,CP200934,C105011,South,Login,Digital,1,26-40,45,11,4
2024-07-20,CP200935,C103411,North,Card,Digital,1,18-25,29,7,3
2024-04-26,CP200936,C103235,South,Service,CallCenter,1,18-25,17,4,2
2024-12-12,CP200937,C101734,North,Login,Branch,1,56+,50,12,4
2024-12-04,CP200938,C104422,South,Card,Digital,1,41-55,49,12,4
2024-12-28,CP200939,C101950,North,Login,Branch,1,56+,52,12,4
2024-05-23,CP200940,C104741,North,Card,Branch,1,26-40,21,5,2
2024-10-26,CP200941,C102842,South,Login,Branch,1,26-40,43,10,4
2024-07-26,CP200942,C104066,North,Card,Digital,1,26-40,30,7,3
2024-07-09,CP200943,C100217,South,Login,Digital,1,18-25,28,7,3
2024-12-03,CP200944,C101780,South,Login,CallCenter,1,18-25,49,12,4
2024-02-25,CP200945,C105063,West,Fees,Digital,1,18-25,8,2,1
2024-10-21,CP200946,C105081,South,Service,Branch,1,26-40,43,10,4
2024-06-20,CP200947,C107881,South,Service,Digital,1,18-25,25,6,2
2024-09-21,CP200948,C105442,South,Card,Digital,1,41-55,38,9,3
2024-02-27,CP200949,C101595,South,Card,CallCenter,1,41-55,9,2,1
2024-08-09,CP200950,C106277,North,Service,Branch,1,41-55,32,8,3
2024-02-15,CP200951,C104030,South,Login,Digital,1,26-40,7,2,1
2024-11-11,CP200952,C104947,South,Login,Digital,1,41-55,46,11,4
2024-04-03,CP200953,C104259,East,Service,CallCenter,1,26-40,14,4,2
2024-11-22,CP200954,C106227,South,Card,Branch,1,26-40,47,11,4
2024-12-23,CP200955,C102537,East,Card,CallCenter,1,26-40,52,12,4
2024-11-07,CP200956,C105338,East,Card,CallCenter,1,41-55,45,11,4
2024-06-16,CP200957,C104343,West,Service,Digital,1,26-40,24,6,2
2024-05-08,CP200958,C102084,East,Login,CallCenter,1,41-55,19,5,2
2024-12-28,CP200959,C100537,West,Login,Branch,1,18-25,52,12,4
2024-08-08,CP200960,C107151,West,Card,Digital,1,41-55,32,8,3
2024-05-25,CP200961,C107188,South,Card,Branch,1,18-25,21,5,2
2024-02-23,CP200962,C106318,South,Card,Digital,1,26-40,8,2,1
2024-07-29,CP200963,C107071,West,Login,CallCenter,1,18-25,31,7,3
2024-09-04,CP200964,C107378,South,Fees,Digital,1,26-40,36,9,3
2024-02-27,CP200965,C100820,South,Fees,CallCenter,1,18-25,9,2,1
2024-02-06,CP200966,C106450,East,Login,CallCenter,1,26-40,6,2,1
2024-05-23,CP200967,C107352,West,Service,Digital,1,56+,21,5,2
2024-06-05,CP200968,C106134,East,Fees,Branch,1,26-40,23,6,2
2024-05-07,CP200969,C101807,North,Login,Digital,1,26-40,19,5,2
2024-11-26,CP200970,C101032,South,Card,Digital,1,26-40,48,11,4
2024-09-29,CP200971,C102519,West,Service,Branch,1,18-25,39,9,3
2024-09-23,CP200972,C104727,East,Fees,Digital,1,26-40,39,9,3
2024-01-03,CP200973,C106373,North,Login,CallCenter,1,41-55,1,1,1
2024-09-17,CP200974,C107845,South,Service,Digital,1,26-40,38,9,3
2024-03-01,CP200975,C105590,North,Fees,Digital,1,26-40,9,3,1
2024-04-14,CP200976,C104955,South,Card,CallCenter,1,26-40,15,4,2
2024-03-22,CP200977,C106705,North,Service,CallCenter,1,26-40,12,3,1
2024-05-24,CP200978,C105585,West,Service,Branch,1,56+,21,5,2
2024-12-08,CP200979,C102643,West,Card,Branch,1,56+,49,12,4
2024-11-08,CP200980,C102962,West,Login,Digital,1,18-25,45,11,4
2024-06-13,CP200981,C104138,West,Service,Digital,1,41-55,24,6,2
2024-04-12,CP200982,C107930,East,Card,CallCenter,1,26-40,15,4,2
2024-10-26,CP200983,C107357,South,Fees,Digital,1,18-25,43,10,4
2024-06-01,CP200984,C106790,East,Service,CallCenter,1,26-40,22,6,2
2024-02-15,CP200985,C107467,North,Login,Digital,1,18-25,7,2,1
2024-07-09,CP200986,C100379,South,Service,Digital,1,41-55,28,7,3
2024-11-26,CP200987,C104730,West,Fees,Digital,1,26-40,48,11,4
2024-06-09,CP200988,C106176,South,Login,CallCenter,1,41-55,23,6,2
2024-10-23,CP200989,C102449,South,Login,Digital,1,26-40,43,10,4
2024-11-28,CP200990,C102912,East,Card,CallCenter,1,26-40,48,11,4
2024-09-29,CP200991,C103504,West,Service,Digital,1,41-55,39,9,3
2024-09-13,CP200992,C102167,West,Login,CallCenter,1,26-40,37,9,3
2024-01-22,CP200993,C106833,South,Service,Digital,1,56+,4,1,1
2024-04-25,CP200994,C106258,South,Card,CallCenter,1,26-40,17,4,2
2024-12-22,CP200995,C106146,South,Fees,Branch,1,41-55,51,12,4
2024-07-10,CP200996,C102907,North,Login,Digital,1,18-25,28,7,3
2024-01-07,CP200997,C100999,East,Login,Digital,1,26-40,1,1,1
2024-06-02,CP200998,C101098,South,Fees,CallCenter,1,56+,22,6,2
2024-06-26,CP200999,C104019,South,Fees,CallCenter,1,41-55,26,6,2
2024-12-24,CP201000,C100346,South,Card,Digital,1,56+,52,12,4
2024-05-30,CP201001,C101076,East,Fees,CallCenter,1,26-40,22,5,2
2024-04-08,CP201002,C103631,South,Login,Digital,1,56+,15,4,2
2024-12-09,CP201003,C107929,North,Fees,Digital,1,41-55,50,12,4
2024-09-14,CP201004,C107115,South,Login,Digital,1,56+,37,9,3
2024-12-03,CP201005,C107060,South,Login,Branch,1,18-25,49,12,4
2024-12-11,CP201006,C100612,East,Service,Digital,1,56+,50,12,4
2024-04-24,CP201007,C101418,South,Login,Digital,1,56+,17,4,2
2024-11-11,CP201008,C103793,North,Login,Branch,1,18-25,46,11,4
2024-11-30,CP201009,C105827,East,Card,Digital,1,26-40,48,11,4
2024-01-18,CP201010,C107027,South,Service,Digital,1,26-40,3,1,1
2024-12-07,CP201011,C105024,North,Fees,Branch,1,41-55,49,12,4
2024-07-31,CP201012,C102606,South,Fees,Branch,1,41-55,31,7,3
2024-09-29,CP201013,C104908,South,Fees,Digital,1,41-55,39,9,3
2024-12-19,CP201014,C106690,West,Login,Digital,1,26-40,51,12,4
2024-10-17,CP201015,C100801,South,Service,Digital,1,26-40,42,10,4
2024-02-17,CP201016,C103933,East,Service,Digital,1,18-25,7,2,1
2024-04-02,CP201017,C102666,South,Fees,CallCenter,1,56+,14,4,2
2024-04-26,CP201018,C106216,West,Card,CallCenter,1,26-40,17,4,2
2024-06-29,CP201019,C105133,South,Card,Digital,1,26-40,26,6,2
2024-01-05,CP201020,C107033,South,Fees,CallCenter,1,18-25,1,1,1
2024-12-28,CP201021,C107540,South,Service,Digital,1,56+,52,12,4
2024-02-26,CP201022,C100722,East,Card,CallCenter,1,18-25,9,2,1
2024-07-10,CP201023,C104048,South,Fees,Digital,1,26-40,28,7,3
2024-02-20,CP201024,C100382,North,Login,Branch,1,41-55,8,2,1
2024-11-09,CP201025,C102544,South,Fees,Branch,1,26-40,45,11,4
2024-05-09,CP201026,C101222,South,Card,Digital,1,56+,19,5,2
2024-08-17,CP201027,C102441,South,Login,Branch,1,18-25,33,8,3
2024-03-03,CP201028,C102995,West,Card,CallCenter,1,26-40,9,3,1
2024-08-20,CP201029,C102844,South,Login,Digital,1,18-25,34,8,3
2024-10-07,CP201030,C106694,East,Card,CallCenter,1,26-40,41,10,4
2024-01-22,CP201031,C105168,South,Login,CallCenter,1,18-25,4,1,1
2024-12-29,CP201032,C104303,South,Fees,Digital,1,26-40,52,12,4
2024-11-27,CP201033,C102090,East,Fees,CallCenter,1,26-40,48,11,4
2024-03-12,CP201034,C105902,East,Service,CallCenter,1,18-25,11,3,1
2024-11-02,CP201035,C107696,West,Login,Digital,1,26-40,44,11,4
2024-11-05,CP201036,C102069,North,Fees,CallCenter,1,26-40,45,11,4
2024-05-16,CP201037,C100949,North,Login,Digital,1,26-40,20,5,2
2024-12-11,CP201038,C100006,South,Fees,Digital,1,41-55,50,12,4
2024-10-23,CP201039,C100529,South,Service,Branch,1,26-40,43,10,4
2024-06-03,CP201040,C104437,North,Service,Digital,1,26-40,23,6,2
2024-11-26,CP201041,C107067,East,Service,CallCenter,1,56+,48,11,4
2024-03-13,CP201042,C105967,East,Card,Digital,1,26-40,11,3,1
2024-04-16,CP201043,C105377,East,Fees,Digital,1,41-55,16,4,2
2024-08-31,CP201044,C103231,West,Login,Digital,1,18-25,35,8,3
2024-12-17,CP201045,C100148,West,Service,Digital,1,26-40,51,12,4
2024-03-06,CP201046,C101787,South,Login,Digital,1,41-55,10,3,1
2024-04-25,CP201047,C103699,East,Fees,Digital,1,26-40,17,4,2
2024-09-22,CP201048,C107334,South,Service,Digital,1,26-40,38,9,3
2024-03-01,CP201049,C106097,South,Fees,Branch,1,26-40,9,3,1
2024-01-31,CP201050,C103076,North,Login,CallCenter,1,26-40,5,1,1
2024-10-13,CP201051,C105896,South,Service,Digital,1,18-25,41,10,4
2024-07-29,CP201052,C107771,North,Fees,Digital,1,18-25,31,7,3
2024-11-27,CP201053,C104180,South,Fees,Digital,1,41-55,48,11,4
2024-04-11,CP201054,C105830,South,Login,Digital,1,41-55,15,4,2
2024-11-26,CP201055,C103532,North,Login,Digital,1,26-40,48,11,4
2024-06-10,CP201056,C101051,South,Card,Branch,1,18-25,24,6,2
2024-12-17,CP201057,C102846,East,Login,Digital,1,26-40,51,12,4
2024-03-14,CP201058,C101109,South,Service,CallCenter,1,18-25,11,3,1
2024-11-05,CP201059,C107307,West,Login,Digital,1,41-55,45,11,4
2024-03-26,CP201060,C101205,West,Login,Digital,1,18-25,13,3,1
2024-06-06,CP201061,C103116,North,Fees,Digital,1,18-25,23,6,2
2024-10-06,CP201062,C107551,South,Card,Digital,1,41-55,40,10,4
2024-12-22,CP201063,C103011,West,Card,Branch,1,56+,51,12,4
2024-03-26,CP201064,C105356,South,Fees,Digital,1,26-40,13,3,1
2024-08-13,CP201065,C101379,North,Login,Digital,1,26-40,33,8,3
2024-05-30,CP201066,C105212,South,Service,Digital,1,56+,22,5,2
2024-05-19,CP201067,C107871,West,Login,CallCenter,1,18-25,20,5,2
2024-04-16,CP201068,C101578,North,Login,Digital,1,56+,16,4,2
2024-04-17,CP201069,C100116,South,Service,Branch,1,41-55,16,4,2
2024-10-03,CP201070,C106899,South,Card,CallCenter,1,56+,40,10,4
2024-03-24,CP201071,C100206,South,Fees,CallCenter,1,18-25,12,3,1
2024-04-13,CP201072,C100999,East,Service,CallCenter,1,26-40,15,4,2
2024-03-27,CP201073,C102443,South,Card,CallCenter,1,26-40,13,3,1
2024-01-09,CP201074,C107902,West,Card,Digital,1,56+,2,1,1
2024-02-19,CP201075,C105965,West,Fees,CallCenter,1,26-40,8,2,1
2024-03-08,CP201076,C105955,South,Service,Branch,1,41-55,10,3,1
2024-06-12,CP201077,C105297,South,Card,CallCenter,1,26-40,24,6,2
2024-08-06,CP201078,C102880,North,Card,Digital,1,18-25,32,8,3
2024-12-21,CP201079,C105056,North,Card,Digital,1,26-40,51,12,4
2024-02-11,CP201080,C106237,South,Fees,Digital,1,41-55,6,2,1
2024-05-19,CP201081,C104742,South,Service,Branch,1,41-55,20,5,2
2024-02-29,CP201082,C101132,South,Login,Digital,1,18-25,9,2,1
2024-12-02,CP201083,C102659,South,Service,Digital,1,26-40,49,12,4
2024-07-17,CP201084,C107183,South,Login,Digital,1,26-40,29,7,3
2024-06-30,CP201085,C102398,West,Login,CallCenter,1,18-25,26,6,2
2024-10-05,CP201086,C104688,North,Service,CallCenter,1,56+,40,10,4
2024-11-09,CP201087,C107446,South,Login,Digital,1,41-55,45,11,4
2024-08-21,CP201088,C105055,South,Service,Branch,1,26-40,34,8,3
2024-04-26,CP201089,C103816,East,Service,Digital,1,26-40,17,4,2
2024-03-22,CP201090,C102611,South,Card,Branch,1,41-55,12,3,1
2024-02-09,CP201091,C104456,South,Service,Branch,1,18-25,6,2,1
